Serial No,Quantity,Unit Price (USD),Date Ordered,Hospital Name,State,Equipment,Supplier,Supplier Country
1,10,250,2024-01-15,General Hospital,Lagos,MRI Machine,MedTech Co.,USA
2,5,200,2024-01-20,City Hospital,Abuja,MRI Machine,HealthEquip Ltd.,UK
3,20,150,2024-01-25,Central Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
4,15,300,2024-01-30,Sunshine Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
5,8,500,2024-02-04,Community Hospital,Kaduna,Ultrasound,HealthEquip Ltd.,UK
6,12,180,2024-02-09,Healing Hands Hospital,Enugu,X-Ray Machine,Radiant Suppliers,China
7,25,220,2024-02-14,Hope Hospital,Kano,MRI Machine,MedTech Co.,USA
8,30,320,2024-02-19,Unity Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
9,10,550,2024-02-24,Metro Hospital,Abuja,Ultrasound,HealthEquip Ltd.,UK
10,50,130,2024-02-29,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
11,20,270,2024-03-05,City Medical Center,Lagos,MRI Machine,MedTech Co.,USA
12,6,300,2024-03-10,General Hospital,Rivers,CT Scanner,TechHealth Inc.,Canada
13,15,250,2024-03-15,Central Clinic,Ogun,Ultrasound,HealthEquip Ltd.,UK
14,4,450,2024-03-20,Healing Touch Hospital,Enugu,MRI Machine,Radiant Suppliers,China
15,25,180,2024-03-25,Sunshine Medical,Lagos,X-Ray Machine,MedTech Co.,USA
16,18,600,2024-03-30,Hope Clinic,Kano,CT Scanner,HealthEquip Ltd.,UK
17,14,150,2024-04-04,Metro Medical Center,Abuja,Ultrasound,TechHealth Inc.,Canada
18,11,200,2024-04-09,State Medical Center,Oyo,MRI Machine,MedTech Co.,USA
19,30,400,2024-04-14,General Clinic,Lagos,CT Scanner,HealthEquip Ltd.,UK
20,10,150,2024-04-19,City Hospital,Rivers,Ultrasound,TechHealth Inc.,Canada
21,12,350,2024-04-24,Hope Hospital,Abuja,MRI Machine,Radiant Suppliers,China
22,10,450,2024-04-29,Healing Hands Hospital,Enugu,X-Ray Machine,HealthEquip Ltd.,UK
23,5,600,2024-05-04,Central Hospital,Kaduna,Ultrasound,MedTech Co.,USA
24,20,120,2024-05-09,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
25,15,330,2024-05-14,City Medical Center,Lagos,MRI Machine,TechHealth Inc.,Canada
26,10,450,2024-05-19,Central Hospital,Rivers,Ultrasound,HealthEquip Ltd.,UK
